tweet_id,name,username,author_id,key_term,text,possibly_sensitive,lang,created_at,retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,conversation_id
1696918408015585758,Mohamed ali,Mohamed29446432,1692233493017714688,1696910426548621479,"@ibahzad @M___R1212 @AlAmeenService @DigitalDubai السلام عليكم 
اغاثوني انا والله طلب المساعدة ضروري ارجوك اتوسل اليك علشان خاطر ربنا اللي بيحب سمو الشيخ محمد بن زايد ال نهيان يقف جنبي ظروفي صعبة جدا 00201091762644",False,ar,2023-08-30T16:10:50.000Z,0,0,0,0,0,6,1696910426548621479
1696913269259116594,Asmaa mohamed Ali,asmaamohamed313,3700192701,1696910426548621479,@ibahzad @AlAmeenService @DigitalDubai الله يجيرنا من الأعظم,False,ar,2023-08-30T15:50:25.000Z,0,0,1,0,0,54,1696910426548621479
1696911322724626644,AAAA/O/T,AlaaTurky55511,3386035469,1696910426548621479,@ibahzad @AlAmeenService @DigitalDubai ربنا يستر ولكن لابد من حلول لذلك,False,ar,2023-08-30T15:42:41.000Z,0,0,1,0,0,49,1696910426548621479
1697203079102222381,Digital Dubai دبي الرقمية,DigitalDubai,79970951,1697203026480464104,"The ""04"" platform connects you directly to the dedicated government entity in #Dubai. Share your feedback through WhatsApp Business at 600 500 055 💬

@TECofDubai
@DTMCentre

#DigitalDubai https://t.co/kjmlHvy0Sn",False,en,2023-08-31T11:02:01.000Z,1,0,2,0,0,479,1697203026480464104
1697978812309372936,🏅Salaam Fashion,salaamfashion,1112560015079030784,1696909628536131934,@DigitalDubai @AlAmeenService @DIALA_ALI ❤️ FROM 🇦🇪,False,en,2023-09-02T14:24:30.000Z,0,0,0,0,0,19,1696909628536131934
1697315216919327135,مـريــم أحمـد,44mm_,2972486928,1696909628536131934,@DigitalDubai @AlAmeenService @DIALA_ALI حبيت فكرة الاعلان #خلك_واعي,False,ar,2023-08-31T18:27:36.000Z,0,0,1,0,0,473,1696909628536131934
1696997843628650573,قضية فلفل,Obd2Egy,988177937844330497,1696909628536131934,@DigitalDubai @AlAmeenService @DIALA_ALI https://t.co/Hifa1V9yRf,False,qme,2023-08-30T21:26:29.000Z,0,0,0,0,0,55,1696909628536131934
1696935704482152724,AIA,mosarty,263817869,1696909628536131934,@DigitalDubai @AlAmeenService @DIALA_ALI الموضوع صار يخوف الواحد. صار مايثق بأحد لابصوت ولا صورة ولافيديو حتى لو بث مباشر,False,ar,2023-08-30T17:19:34.000Z,0,0,0,0,0,108,1696909628536131934
1696911594846908603,فرحان بن احمد,BnFrhan66728,1680830153704742913,1696909628536131934,"@DigitalDubai @dbelhoul @AlAmeenService @DIALA_ALI إسقاط 
اسقاط المركبات القديمة وتالفة

سكليف🏥 #اجازة مرضية 

(اعذار طبية) 
موثقة في صحتي ومختومة",False,ar,2023-08-30T15:43:45.000Z,0,0,0,0,0,39,1696909628536131934
1697129556774146136,د.سهام أخصّائية التغذية🇸🇦,altghdhyt63,1690677527092641792,1697129407658242133,"@AlBayanNews @DigitalDubai جديد⚡️وحصرياً⚡

⏪افضل انواع المقويات الطبيعية للعلاقة الزوجية،
♀️♂️ 
وبكافة الأنواع »✔️

√ ڪريمّات

√ حبـوب آمـنة🤞

√ بـَـخـاخ

√ اجـهـزَة للتـّکـبير✨️

√ علڪـة،،وقـطـرات للنساء

🛒»والعديد من المنتجات المميزه والآمنه«🛒

💬تجدوها في حسابـي،،،راسلنـــي📞💬",False,ar,2023-08-31T06:09:52.000Z,0,0,0,0,0,1,1697129407658242133
1697129546779148341,د / سعاد الصالحي,kudayburak6ofv,777008529999794177,1697129407658242133,"@AlBayanNews @DigitalDubai 😍جديد 😍
اقوى وافضل أنواع المقويات للعلاقة الزوجية 
♀️♂️
وبكافة الأنواع 👇

➖كريمات تكبير 

✔️حبوب آمنة 🤞

✨بخاخ 

اجهزة للتكبير 🌀

علكة ° وقطرات 

🛒والمزيد من المنتجات المرغوب بها 🛒 

💬تواصل معي وستجد ما يسرك 💬

🔛قم بزيارة حسابي 📲",False,ar,2023-08-31T06:09:49.000Z,0,0,0,0,0,7,1697129407658242133
1697129435927806450,Javion Reed,javion_ree26181,1694677109766053888,1697129407658242133,@AlBayanNews @DigitalDubai لا تدع هذه الفرصة الرائعة تفوتك احصل على ورق امريكي الجودة بخصم 50٪  التواصل عبر الواتس اب 00380999819067,False,ar,2023-08-31T06:09:23.000Z,0,0,0,0,0,0,1697129407658242133
1697129470375682233,الدكتورة سلوى المـطيـري,adnanmayhosuudr,778267914231246849,1697129315299733820,"@alkhaleej @DigitalDubai 😍جديد 😍
اقوى وافضل أنواع المقويات للعلاقة الزوجية 
♀️♂️
وبكافة الأنواع 👇

➖كريمات تكبير 

✔️حبوب آمنة 🤞

✨بخاخ 

اجهزة للتكبير 🌀

علكة ° وقطرات 

🛒والمزيد من المنتجات المرغوب بها 🛒 

💬تواصل معي وستجد ما يسرك 💬

🔛قم بزيارة حسابي 📲",False,ar,2023-08-31T06:09:31.000Z,0,0,0,0,0,6,1697129315299733820
